CHISQcheck_ratioPRF

Command line: -o HiQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.554   1.21784      10.2564         0.998638
    0.556   1.22309      10.2936         0.998665
    0.558   1.23563      10.3307         0.998692
    0.56    1.2362       10.3679         0.998718
    0.562   1.28552      10.4051         0.998743
    0.564   1.33444      10.4422         0.998768
    0.566   1.33539      10.4794         0.998793
    0.568   1.34601      10.5166         0.998817
    0.57    1.36678      10.5537         0.99884
    0.572   1.37078      10.5909         0.998864
    0.574   1.37159      10.628          0.998886
    0.576   1.37653      10.6652         0.998908
    0.578   1.39967      10.7024         0.99893
    0.58    1.45381      10.7395         0.998951
    0.582   1.46626      10.7767         0.998972
    0.584   1.46677      10.8138         0.998993
    0.586   1.47094      10.851          0.999013
    0.588   1.47222      10.8882         0.999032
    0.59    1.47608      10.9253         0.999051
    0.592   1.49807      10.9625         0.99907
    0.594   1.50829      10.9996         0.999089
    0.596   1.52774      11.0368         0.999107
    0.598   1.5496       11.074          0.999125
    0.6     1.56337      11.1111         0.999142
    0.602   1.56833      11.1483         0.999159
    0.604   1.57554      11.1854         0.999176
    0.606   1.64786      11.2226         0.999192
    0.608   1.65132      11.2598         0.999208
    0.61    1.65271      11.2969         0.999224
    0.612   1.68481      11.3341         0.999239
    0.614   1.69017      11.3713         0.999254
    0.616   1.70961      11.4084         0.999269
    0.618   1.73941      11.4456         0.999283
    0.62    1.74309      11.4827         0.999298
    0.622   1.75745      11.5199         0.999311
    0.624   1.76928      11.5571         0.999325
    0.626   1.76937      11.5942         0.999338
    0.628   1.79311      11.6314         0.999352
    0.63    1.81148      11.6685         0.999364
    0.632   1.81369      11.7057         0.999377
    0.634   1.83554      11.7429         0.999389
    0.636   1.84125      11.78           0.999401
    0.638   1.85208      11.8172         0.999413
    0.64    1.85581      11.8543         0.999425
    0.642   1.87245      11.8915         0.999436
    0.644   1.88181      11.9287         0.999447
    0.646   1.91085      11.9658         0.999458
    0.648   1.94074      12.003          0.999469
    0.65    1.96568      12.0402         0.999479
    0.652   1.98139      12.0773         0.99949
    0.654   2.01708      12.1145         0.9995
    0.656   2.05542      12.1516         0.99951
