CHISQcheck_ratioPRF

Command line: -o LowQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 50 -q 50

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.542   0.494353     23.9777         0.999999
    0.544   0.53277      24.0665         0.999999
    0.546   0.545337     24.1553         0.999999
    0.548   0.552454     24.2441         0.999999
    0.55    0.591399     24.3329         0.999999
    0.552   0.602785     24.4217         0.999999
    0.554   0.616732     24.5105         0.999999
    0.556   0.687842     24.5993         0.999999
    0.558   0.806222     24.6881         0.999999
    0.56    0.814532     24.7769         0.999999
    0.562   0.815921     24.8657         0.999999
    0.564   0.835293     24.9545         0.999999
    0.566   0.91576      25.0434         0.999999
    0.568   0.915853     25.1322         0.999999
    0.57    0.91837      25.221          0.999999
    0.572   0.935613     25.3098         1
    0.574   0.937333     25.3986         1
    0.576   0.944778     25.4874         1
    0.578   0.955431     25.5762         1
    0.58    0.961672     25.665          1
    0.582   0.969135     25.7538         1
    0.584   0.989219     25.8426         1
    0.586   1.00278      25.9314         1
    0.588   1.03118      26.0202         1
    0.59    1.04794      26.109          1
    0.592   1.06774      26.1978         1
    0.594   1.07508      26.2866         1
    0.596   1.09783      26.3754         1
    0.598   1.09877      26.4643         1
    0.6     1.10249      26.5531         1
    0.602   1.15722      26.6419         1
    0.604   1.1605       26.7307         1
    0.606   1.16933      26.8195         1
    0.608   1.193        26.9083         1
    0.61    1.27953      26.9971         1
    0.612   1.30722      27.0859         1
    0.614   1.31123      27.1747         1
    0.616   1.32538      27.2635         1
    0.618   1.34084      27.3523         1
    0.62    1.38143      27.4411         1
    0.622   1.42486      27.5299         1
    0.624   1.43062      27.6187         1
    0.626   1.4383       27.7075         1
    0.628   1.49919      27.7963         1
    0.63    1.53943      27.8852         1
    0.632   1.57709      27.974          1
    0.634   1.58697      28.0628         1
    0.636   1.643        28.1516         1
    0.638   1.64851      28.2404         1
    0.64    1.72843      28.3292         1
    0.642   1.76929      28.418          1
    0.644   1.78359      28.5068         1
    0.646   1.7836       28.5956         1
    0.648   1.78895      28.6844         1
    0.65    1.79022      28.7732         1
    0.652   1.82119      28.862          1
    0.654   1.83812      28.9508         1
    0.656   1.84382      29.0396         1
    0.658   1.85927      29.1284         1
    0.66    1.86928      29.2172         1
    0.662   1.8787       29.3061         1
    0.664   1.9215       29.3949         1
    0.666   1.95417      29.4837         1
    0.668   1.96856      29.5725         1
    0.67    1.96957      29.6613         1
    0.672   1.97723      29.7501         1
    0.674   1.98276      29.8389         1
    0.676   1.98808      29.9277         1
    0.678   2.02195      30.0165         1
    0.68    2.14533      30.1053         1
    0.682   2.14764      30.1941         1
    0.684   2.16902      30.2829         1
    0.686   2.17833      30.3717         1
    0.688   2.18548      30.4605         1
    0.69    2.19834      30.5493         1
    0.692   2.22991      30.6381         1
    0.694   2.23317      30.727          1
    0.696   2.26217      30.8158         1
    0.698   2.2625       30.9046         1
    0.7     2.28934      30.9934         1
    0.702   2.2966       31.0822         1
    0.704   2.29661      31.171          1
    0.706   2.31532      31.2598         1
    0.708   2.39419      31.3486         1
    0.71    2.41363      31.4374         1
    0.712   2.46706      31.5262         1
    0.714   2.49907      31.615          1
    0.716   2.54758      31.7038         1
    0.718   2.55775      31.7926         1
    0.72    2.57688      31.8814         1
    0.722   2.5838       31.9702         1
    0.724   2.58776      32.059          1
    0.726   2.60412      32.1479         1
    0.728   2.64264      32.2367         1
    0.73    2.64387      32.3255         1
    0.732   2.68556      32.4143         1
    0.734   2.69021      32.5031         1
    0.736   2.6977       32.5919         1
    0.738   2.76604      32.6807         1
    0.74    2.77499      32.7695         1
    0.742   2.8142       32.8583         1
    0.744   2.83981      32.9471         1
    0.746   2.88664      33.0359         1
    0.748   2.9124       33.1247         1
    0.75    2.92956      33.2135         1
    0.752   2.9643       33.3023         1
    0.754   2.98003      33.3911         1
    0.756   2.99812      33.4799         1
    0.758   3.14295      33.5688         1
    0.76    3.18881      33.6576         1
    0.762   3.25335      33.7464         1
    0.764   3.25646      33.8352         1
    0.766   3.28573      33.924          1
    0.768   3.35         34.0128         1
    0.77    3.35097      34.1016         1
    0.772   3.36641      34.1904         1
    0.774   3.4342       34.2792         1
    0.776   3.44513      34.368          1
    0.778   3.50053      34.4568         1
    0.78    3.84093      34.5456         1
    0.782   3.84555      34.6344         1
    0.784   3.92793      34.7232         1
    0.786   4.00589      34.812          1
    0.788   4.02247      34.9008         1
    0.79    4.17874      34.9896         1
    0.792   4.2681       35.0785         1
    0.794   4.28214      35.1673         1
    0.796   4.28501      35.2561         1
    0.798   4.44208      35.3449         1
    0.8     4.45328      35.4337         1
    0.802   4.52535      35.5225         1
    0.804   4.60964      35.6113         1
    0.806   4.67721      35.7001         1
    0.808   4.72782      35.7889         1
    0.81    4.80966      35.8777         1
    0.812   4.81235      35.9665         1
    0.814   4.83015      36.0553         1
    0.816   4.87219      36.1441         1
    0.818   4.95075      36.2329         1
    0.82    4.96399      36.3217         1
    0.822   5.0022       36.4105         1
    0.824   5.02038      36.4994         1
